Net Income (in millions),Close NASDQ,SPOT EXCHANGE RATE - EURO AREA,"UNITED KINGDOM -- SPOT EXCHANGE RATE, US$/POUND (1/RXI_N.B.UK)","JAPAN -- SPOT EXCHANGE RATE, YEN/US$","Market yield on U.S. Treasury securities at 10-year   constant maturity, quoted on investment basis",medical cpi,US CPI,US GDP,DPI US,industrial production,Inflation Rate,PCE US,PPI US,Unemployment,Commercial and Industral loans,Government investment,roa,roi,roe,R&D expenses,EPS
0.277413752,0.038432055,0.324164345,0.399283549,0.254968288,0.549597855,0.023614535,0.018661005,0.203295871,0.017368612,0.507640076,0.255555556,0.176789933,0,0.080960401,0.17565736,0.018161924,0.525592026,0.536725836,0.555304276,0.144497544,0.238167018
0.277413752,0.038550629,0.337743733,0.403141361,0.257716702,0.557640751,0.023231999,0.019285428,0.203772614,0.017578607,0.508208633,0.255555556,0.176996555,0,0.080799437,0.177825969,0.018556748,0.527488878,0.538741021,0.557540246,0.137727333,0.241031052
0.277413752,0.040707116,0.365947075,0.400936897,0.264270613,0.55227882,0.022849463,0.019909852,0.204249354,0.017788603,0.50877719,0.255555556,0.177203177,0,0.080638472,0.179994578,0.018951573,0.529385731,0.540756206,0.559776216,0.130957122,0.243895086
0.277413752,0.042029033,0.366991643,0.421879306,0.255602537,0.563002681,0.022466928,0.020534273,0.204726097,0.017998596,0.509345747,0.255555556,0.1774098,0,0.080477508,0.182163188,0.019346397,0.531282583,0.542771391,0.562012187,0.124186911,0.24675912
0.277413752,0.04024513,0.358286908,0.403692477,0.25602537,0.557640751,0.022084392,0.021158697,0.205202837,0.018208592,0.509914304,0.255555556,0.177616424,0,0.080316544,0.184331797,0.019741223,0.533179435,0.544786576,0.564248157,0.1174167,0.249623153
0.277413752,0.044312548,0.353064067,0.41857261,0.256659619,0.533512064,0.021701856,0.02178312,0.20567958,0.018418587,0.510482863,0.255555556,0.177823046,0,0.08015558,0.186500407,0.020136046,0.535076287,0.546801761,0.566484127,0.110646489,0.252487187
0.277413752,0.044379347,0.390668524,0.459355194,0.221987315,0.538873995,0.021319321,0.022407542,0.206156319,0.018628583,0.51105142,0.255555556,0.178029668,0,0.079994616,0.188669016,0.02053087,0.53697314,0.548816946,0.568720097,0.103876278,0.255351221
0.277413752,0.04440195,0.392061281,0.45990631,0.214587738,0.530831099,0.020936784,0.023031965,0.206633059,0.018838578,0.511619977,0.255555556,0.178236291,0,0.079833652,0.190837625,0.020925696,0.538869992,0.550832131,0.570956067,0.097106067,0.258215255
0.277413752,0.044451796,0.396239554,0.457977404,0.212896406,0.522788204,0.020554248,0.023656389,0.207109802,0.019048573,0.512188534,0.255555556,0.178442915,0,0.079672688,0.193006235,0.02132052,0.540766844,0.552847316,0.573192038,0.090335855,0.261079288
0.277413752,0.034318558,0.415738162,0.489391017,0.198308668,0.512064343,0.020171712,0.024280812,0.207586541,0.019258569,0.512757091,0.255555556,0.178649537,0,0.079511724,0.197343454,0.021715344,0.542663696,0.554862501,0.575428008,0.083565645,0.263943322
0.277413752,0.036935148,0.412256267,0.488564343,0.180549683,0.504021448,0.019789177,0.024905234,0.208063284,0.019468564,0.513325648,0.255555556,0.17885616,0,0.079350759,0.199512063,0.022110169,0.544560549,0.556877686,0.577663978,0.076795434,0.266807356
0.277413752,0.036563482,0.407729805,0.502342243,0.181818182,0.506702413,0.019406641,0.025529658,0.208540024,0.01967856,0.513894207,0.255555556,0.179062782,0,0.079189795,0.201680672,0.022504993,0.546457401,0.558892871,0.579899948,0.070025222,0.26967139
0.277413752,0.037603181,0.414345404,0.492697713,0.179915433,0.504021448,0.019024105,0.026154081,0.209016767,0.019888555,0.514462764,0.255555556,0.179269406,0,0.078867867,0.203849282,0.022899817,0.548354253,0.560908056,0.582135918,0.063255011,0.272535423
0.277413752,0.038697412,0.440807799,0.518049049,0.168287526,0.498659517,0.01864157,0.026778503,0.209493507,0.020098549,0.515031321,0.255555556,0.179476028,0,0.078706903,0.206017891,0.023294642,0.550251105,0.562923241,0.584371889,0.0564848,0.275399457
0.277413752,0.04196885,0.430362117,0.496004409,0.169978858,0.509383378,0.018259033,0.027402926,0.209970246,0.020308544,0.515599878,0.255555556,0.179682651,0,0.078545939,0.2081865,0.023689466,0.552147958,0.564938425,0.586607859,0.049714589,0.278263491
0.277413752,0.044077328,0.396935933,0.470653072,0.180338266,0.501340483,0.017876497,0.02802735,0.210446989,0.02051854,0.516168435,0.255555556,0.179889273,0,0.078384975,0.21035511,0.02408429,0.55404481,0.56695361,0.588843829,0.042944378,0.281127525
0.277413752,0.045657067,0.386490251,0.492146597,0.186892178,0.509383378,0.017493962,0.028651773,0.210923729,0.020728535,0.516736995,0.255555556,0.180095897,0,0.078224011,0.212523719,0.024479115,0.555941662,0.568968795,0.591079799,0.036174167,0.283991558
0.277413752,0.045412476,0.376740947,0.505373381,0.18794926,0.504021448,0.017111426,0.029276195,0.211400472,0.02093853,0.517305552,0.233333333,0.180302519,0,0.078224011,0.212523719,0.024873939,0.557838515,0.57098398,0.593315769,0.029403956,0.286855593
0.273624378,0.043807331,0.361768802,0.489391017,0.178435518,0.490616622,0.017111426,0.029900618,0.211877211,0.021148526,0.517874108,0.233333333,0.180509142,0,0.078087542,0.213020692,0.025268763,0.557838515,0.572999165,0.59555174,0.022633745,0.289719626
0.273624378,0.044177067,0.364902507,0.477817581,0.173784355,0.493297587,0.017096756,0.029900618,0.212353954,0.021148526,0.517874108,0.233333333,0.180509142,0,0.077951072,0.213517665,0.025663589,0.557799614,0.572999165,0.59555174,0.022633745,0.289719626
0.273624378,0.040965858,0.363857939,0.491871039,0.183509514,0.487935657,0.017082087,0.030081123,0.212830694,0.021957139,0.512494015,0.233333333,0.180538303,0.001149617,0.077814603,0.214014638,0.026058413,0.557760713,0.573016077,0.595504512,0.023222819,0.289719626
0.273624378,0.04232733,0.360376045,0.491319923,0.179704017,0.487935657,0.017067417,0.030261627,0.212830694,0.022765752,0.507113924,0.233333333,0.180567462,0.002299234,0.077678134,0.214511611,0.026058413,0.557721812,0.573032988,0.595457285,0.023811895,0.289719626
0.273624378,0.042220057,0.348189415,0.467070818,0.174207188,0.498659517,0.017052748,0.03044213,0.213617695,0.023574363,0.50173383,0.233333333,0.180596623,0.00344885,0.077541665,0.215008584,0.026488317,0.557682911,0.5730499,0.595410057,0.024400969,0.289719626
0.273624378,0.042513622,0.344707521,0.472581979,0.178224101,0.495978552,0.017038078,0.030622634,0.214404693,0.024382975,0.496353737,0.233333333,0.180625784,0.004598468,0.077405196,0.215505557,0.026918222,0.55764401,0.573066811,0.595362829,0.024990044,0.289719626
0.273624378,0.041181323,0.347493036,0.490768807,0.152642706,0.482573727,0.017023409,0.030803138,0.215191695,0.025191588,0.490973644,0.233333333,0.180654944,0.005748084,0.077268727,0.21600253,0.027348128,0.55760511,0.573083723,0.595315602,0.025579118,0.289719626
0.273624378,0.038301306,0.346448468,0.495177735,0.148414376,0.471849866,0.017008739,0.030983643,0.215978696,0.026000201,0.485593552,0.233333333,0.180684105,0.006897702,0.077132258,0.216499503,0.027778033,0.557566209,0.573100635,0.595268374,0.026168193,0.289719626
0.273624378,0.035383616,0.353064067,0.501240011,0.141860465,0.461126005,0.016994069,0.031164147,0.216765697,0.026808812,0.480213459,0.233333333,0.180713266,0.008047318,0.076995789,0.216996476,0.028207938,0.557527308,0.573117546,0.595221147,0.026757268,0.289719626
0.273624378,0.040242328,0.363509749,0.519151281,0.125581395,0.466487936,0.01696473,0.031525154,0.218339697,0.028426038,0.469453273,0.233333333,0.180771586,0.010346552,0.076722851,0.217990422,0.029067747,0.557488407,0.573134458,0.595173919,0.027346343,0.289719626
0.273624378,0.039553621,0.379526462,0.569302838,0.124312896,0.445040214,0.016950062,0.031705658,0.219126698,0.029234651,0.46407318,0.233333333,0.180800747,0.011496169,0.076586382,0.218487395,0.029497652,0.557449506,0.573151369,0.595126692,0.027935418,0.289719626
0.273624378,0.040829412,0.379874652,0.574813998,0.138266385,0.45308311,0.016935392,0.031886163,0.2199137,0.030043262,0.458693088,0.233333333,0.180829906,0.012645786,0.076449912,0.218984368,0.029927559,0.557410606,0.573168281,0.595079464,0.028524492,0.289719626
